Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Gasolina 95 E5;Gasolina 95 E10;Gasolina 95 E5 Premium;Gasolina 98 E5;Gasolina 98 E10;Gasóleo A;Gasóleo Premium;Gasóleo B;Gasóleo C;Bioetanol;Biodiésel;Gases licuados del petróleo;Gas natural comprimido;Gas natural licuado;Hidrógeno;Gasóleo de uso marítimo;Rótulo;Tipo;Horario
ZARAGOZA;ALAGÓN;ALAGON;50630;AUTOVIA A-68 KM. 265;D;-1,148194;41,762778;03/11/2023 00:00;1,649;;;1,789;;1,689;1,749;1,333;;;;;;;;;REPSOL;;L-D: 05:30-22:00
ZARAGOZA;ALAGÓN;ALAGON;50630;AUTOVIA A-68 KM. 265;I;-1,149389;41,761111;03/11/2023 00:00;1,649;;;1,789;;1,689;1,749;1,333;;;;;;;;;REPSOL;;L-D: 06:00-22:30
CÁDIZ;SAN ROQUE;SAN ROQUE;11360;AUTOVIA A-7 KM. 116,000;I;-5,410139;36,207222;31/10/2023 05:45;1,679;;;1,899;;1,689;1,779;1,419;;;;;;;;;REPSOL;;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;AUTOVIA A-7 KM. 151;I;-5,189556;36,407750;01/11/2023 10:36;1,597;;;;;1,599;;;;;;;;;;;PETROL & GO ;;L-D: 24H
MÁLAGA;ALGARROBO;ALGARROBO;29750;AUTOVIA A-7 KM. 277,9;D;-4,051389;36,759167;03/11/2023 00:00;1,709;;;1,849;;1,719;1,799;;;;;;;;;;REPSOL;;L-D: 06:00-22:00
MÁLAGA;TORROX;TORROX;29770;AUTOVIA A-7 KM. 287;D;-3,960500;36,752639;03/11/2023 00:00;1,699;;;1,841;;1,719;1,809;;;;;;;;;;BP TORROX;;L-D: 24H
MÁLAGA;FRIGILIANA;FRIGILIANA;29778;AUTOVIA A-7 KM. 292;D;-3,888194;36,762083;30/10/2023 09:49;1,688;;;;;1,698;1,789;;;;;;;;;;CEPSA;;L-D: 24H
CASTELLÓN / CASTELLÓ;ALMENARA;ALMENARA;12590;AUTOVIA A-7 KM. 293,000;D;-0,233333;39,740389;03/11/2023 00:00;1,659;;;1,819;;1,699;1,799;1,369;;;;;;;;;REPSOL;;L-D: 06:00-22:00
VALENCIA / VALÈNCIA;BENIFAIÓ;BENIFAIO;46450;AUTOVIA A-7 KM. 361;I;-0,456000;39,287806;31/10/2023 11:37;1,655;;;1,849;;1,645;1,725;;;;;;;;;;PETROMAR;;L-D: 24H
VALENCIA / VALÈNCIA;BENIFAIÓ;BENIFAIO;46450;AUTOVIA A-7 KM. 362;D;-0,455083;39,286389;31/10/2023 11:38;1,655;;;1,849;;1,645;1,725;1,189;;;;;;;;;PETROMAR;;L-D: 24H
ALMERÍA;ADRA;ADRA;04770;AUTOVIA A-7 KM. 391;N;-2,985778;36,765444;02/11/2023 10:42;1,739;;;;;1,729;1,789;1,319;;;;;;;;;CEPSA;;L-D: 24H
VALENCIA / VALÈNCIA;TORRENT;TORRENT;46900;AUTOVIA A-7 KM. 519,3;I;-0,491417;39,400278;03/11/2023 02:22;1,739;;;1,879;;1,729;1,799;;;;;;;;;;GALP;;L-D: 24H
VALENCIA / VALÈNCIA;TORRENT;TORRENT;46900;AUTOVIA A-7 KM. 519,3;D;-0,492361;39,399722;03/11/2023 02:22;1,739;;;1,879;;1,729;1,799;;;;;;;;;;GALP;;L-D: 24H
MURCIA;LIBRILLA;LIBRILLA;30892;AUTOVIA A-7 KM. 591;D;-1,339611;37,892778;31/10/2023 06:00;1,649;;;1,789;;1,679;1,769;1,399;;;;0,999;;;;;REPSOL;;L-D: 24H
MURCIA;ALHAMA DE MURCIA;ALHAMA DE MURCIA;30840;AUTOVIA A-7 KM. 606;I;-1,427694;37,794667;03/11/2023 00:00;1,649;;;1,809;;1,679;1,779;1,413;;;;;;;;;REPSOL;;L-D: 24H
CASTELLÓN / CASTELLÓ;LLOSA (LA);LLOSA (LA);12591;AUTOVIA A-7 SALIDA 289 ENLACE CV-2311 KM. 289;D;-0,226389;39,773750;30/10/2023 09:09;1,689;;;1,829;;1,699;1,799;1,389;;;;;;;;;REPSOL;;L-D: 24H
CANTABRIA;RIBAMONTÁN AL MONTE;ANERO;39794;AUTOVIA A-8 KM. 194;D;-3,665000;43,391056;03/11/2023 00:00;1,729;;;;;1,749;1,809;;;;;;;;;;CEPSA;;L-D: 24H
ASTURIAS;CARREÑO;TAM ON;33469;AUTOVIA A-8 KM. 401,5;D;-5,819694;43,514361;03/11/2023 00:00;1,719;;;1,879;;1,729;1,829;;;;;0,989;;;;;PETRONOR;;L-D: 24H
ASTURIAS;NAVIA;NAVIA;33710;AUTOVIA A-8 KM. 521;D;-6,693417;43,535194;03/11/2023 00:00;1,709;;;1,841;;1,725;1,819;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
SEVILLA;PUEBLA DE CAZALLA (LA);PUEBLA DE CAZALLA (LA);41540;AUTOVÍA A-92 km 66;D;-5,287278;37,226028;30/10/2023 14:25;;;;;;1,539;;1,203;;;;;;;;;COOPERATIVA AGRARIA OLEAND S. COOP. AND. ;;L-D: 24H
SEVILLA;ESTEPA;ESTEPA;41560;AUTOVIA A-92 KM. 105,250;D;-4,880000;37,301889;03/11/2023 00:00;1,659;;;1,779;;1,699;1,759;1,327;;;;0,989;;;;;REPSOL;;L-D: 06:00-23:00
SEVILLA;ALCALÁ DE GUADAÍRA;ALCALA DE GUADAIRA;41500;AUTOVIA A-92 KM. 11,900;D;-5,820639;37,343972;31/10/2023 10:15;1,699;;;1,877;;1,719;1,849;;;;;;;;;;BP E.S.BAELO;;"L-V: 06:30-22:30; S-D: 07:00-22:30"
MÁLAGA;FUENTE DE PIEDRA;FUENTE DE PIEDRA;29520;AUTOVIA A-92 KM. 132;D;-4,728278;37,137611;30/10/2023 09:15;1,665;;;1,849;;1,635;1,675;1,150;;;;0,949;;;;;AGLA;;L-D: 07:00-22:00
MÁLAGA;ARCHIDONA;ARCHIDONA;29300;AUTOVIA A-92 KM. 160;D;-4,453694;37,082083;31/10/2023 13:46;1,659;;;1,819;;1,669;1,739;;;;;;;;;;REPSOL;;L-D: 24H
GRANADA;LOJA;LOJA;18300;AUTOVIA A-92 KM. 177;D;-4,284778;37,133278;30/10/2023 08:23;1,675;;;1,725;;1,695;1,795;;;;;;;;;;CEPSA;;L-D: 24H
SEVILLA;SEVILLA;SEVILLA;41007;AUTOVIA A-92 KM. 2;I;-5,935028;37,386972;03/11/2023 00:00;1,669;;;1,819;;1,709;1,809;;;;;;;;;;REPSOL;;L-D: 06:00-22:00
GRANADA;HUÉTOR TÁJAR;HUETOR-TAJAR;18360;AUTOVIA A-92 KM. 200,3;I;-4,054167;37,181111;03/11/2023 00:00;1,639;;;1,779;;1,659;1,759;;;;;;;;;;REPSOL;;L-D: 06:00-00:00
GRANADA;MORALEDA DE ZAFAYONA;MORALEDA DE ZAFAYONA;18370;AUTOVIA A-92 KM. 209,7;D;-3,958750;37,184944;03/11/2023 00:00;1,639;;;1,769;;1,659;1,759;;;;;;;;;;REPSOL;;L-D: 07:00-23:00
GRANADA;MORALEDA DE ZAFAYONA;MORALEDA DE ZAFAYONA;18370;AUTOVIA A-92 KM. 211;D;-3,952750;37,182583;02/11/2023 00:00;1,659;;;1,839;;1,659;1,749;;;;;;;;;;REPSOL;;L-D: 24H
SEVILLA;CARMONA;CARMONA;41410;AUTOVIA A-92 KM. 24;D;-5,711833;37,295528;30/10/2023 10:17;1,669;;;1,801;;1,719;1,785;;;;;;;;;;CEPSA;;"L-V: 06:00-22:00; S-D: 07:00-22:00"
SEVILLA;CARMONA;CARMONA;41410;AUTOVIA A-92 KM. 24,000;I;-5,711278;37,296194;30/10/2023 10:17;1,669;;;1,801;;1,719;1,785;;;;;;;;;;CEPSA;;L-V: 06:00-22:00
GRANADA;HUÉNEJA;HUENEJA;18512;AUTOVIA A-92 KM. 246,235;I;-2,954833;37,189250;03/11/2023 00:00;1,639;;;1,759;;1,659;1,719;;;;;;;;;;REPSOL;;L-D: 06:00-22:00
GRANADA;HUÉTOR DE SANTILLÁN;HUETOR-SANTILLAN;18183;AUTOVIA A-92 KM. 256;D;-3,497222;37,233889;03/11/2023 00:00;1,639;;;1,769;;1,679;1,759;;;;;;;;;;96053;;L-D: 07:00-23:00
GRANADA;DIEZMA;DIEZMA;18180;AUTOVIA A-92 KM. 276,60;D;-3,334667;37,315833;02/11/2023 13:34;1,659;;;1,769;;1,669;1,739;;;;;;;;;;SHELL;;L-D: 24H
GRANADA;DARRO;DARRO;18181;AUTOVIA A-92 KM. 282;D;-3,267222;37,322667;01/11/2023 09:53;1,659;;1,719;;;1,685;1,751;;;;;;;;;;CEPSA;;L: 06:00-00:00
GRANADA;GUADIX;GUADIX;18500;AUTOVIA A-92 KM. 292;I;-3,152639;37,320472;02/11/2023 18:21;1,649;;;1,803;;1,669;1,771;;;;;;;;;;BP ;;L-D: 24H
GRANADA;BAZA;BAUL;18860;AUTOVIA A-92 KM. 322;I;-2,905611;37,433583;31/10/2023 10:37;1,950;;;;;1,950;;;;;;;;;;;E.S. MIRASIERRA;;L-D: 24H
GRANADA;CÚLLAR;CULLAR;18850;AUTOVIA A-92 KM. 377;I;-2,373556;37,595222;02/11/2023 14:00;1,639;;;1,779;;1,649;1,729;;;;;;;;;;SHELL;;L-D: 24H
ALMERÍA;CHIRIVEL;CHIRIVEL;04825;AUTOVIA A-92 KM. 385;D;-2,281028;37,595778;30/10/2023 09:12;1,639;;;1,739;;1,669;1,769;1,150;;;;;;;;;REPSOL;;L-D: 06:30-22:30
SEVILLA;MARCHENA;MARCHENA;41620;AUTOVIA A-92 KM. 53,800;D;-5,409556;37,254111;02/11/2023 15:00;1,629;;;1,769;;1,679;1,759;;;;;;;;;;SHELL;;"L-V: 06:00-22:00; S-D: 07:00-16:00"
SEVILLA;OSUNA;OSUNA;41640;AUTOVIA A-92 KM. 89;N;-5,087333;37,233639;02/11/2023 14:00;1,629;;;1,769;;1,649;1,729;;;;;;;;;;SHELL;;L-D: 24H
SEVILLA;AGUADULCE;AGUADULCE;41550;AUTOVIA A-92 KM. 97;D;-4,959194;37,263528;03/11/2023 06:00;1,664;;1,725;;;1,705;1,789;;;;;;;;;;CEPSA;;L-D: 24H
GRANADA;GOR;GOR;18870;AUTOVIA A-92 NORTE KM. 208;D;-3,027250;37,393278;03/11/2023 00:00;1,639;;;1,759;;1,659;1,759;;;;;;;;;;CAMPSA;;L-D: 07:00-22:00
GRANADA;LÁCHAR;LACHAR;18327;AUTOVIA A-92 SALIDA PEÑUELAS KM. 220;D;-3,853361;37,193000;02/11/2023 12:57;1,759;;;1,929;;1,699;1,799;1,429;;;;;;;;;REPSOL;;L-D: 24H
GRANADA;BAZA;BAZA;18800;AUTOVIA A-92N/N-342 KM. 322;D;-2,908028;37,429806;31/10/2023 19:11;1,699;;;;;1,699;1,779;;;;;;;;;;CEPSA;;L-D: 06:00-22:00
BURGOS;BURGOS;BURGOS;09001;AUTOVIA A-I KM. 235;I;-3,702917;42,310278;03/11/2023 00:00;1,659;;;1,791;;1,699;1,789;;;;;0,959;;;;;CEPSA;;L-D: 06:00-23:59
MADRID;SERNA DEL MONTE (LA);SERNA DEL MONTE (LA);28737;AUTOVIA A-I KM. 81;I;-3,617861;41,040139;02/11/2023 15:00;1,699;;;1,839;;1,699;1,779;;;;;;;;;;SHELL;;L-D: 06:00-00:00
TOLEDO;TALAVERA DE LA REINA;TALAVERA DE LA REINA;45600;AUTOVIA A-V KM. 125,750;I;-4,953139;39,943778;03/11/2023 00:00;1,689;;;1,839;;1,689;1,759;;;;;;;;;;REPSOL;;L-D: 24H
CÁCERES;ALMARAZ;ALMARAZ;10350;AUTOVIA A-V KM. 193,800;D;-5,660639;39,828056;31/10/2023 09:00;1,739;;;1,839;;1,729;1,789;;;;;;;;;;CEPSA;;L-D: 24H
MURCIA;MURCIA;BAÑOS Y MENDIGO;30155;AUTOVIA A.30 KM. 408,5;I;-1,136361;37,885444;30/10/2023 14:57;1,689;;;1,849;;1,669;1,739;1,389;;;;0,999;;;;;REPSOL;;L-D: 24H
GRANADA;CÚLLAR;CULLAR;18850;AUTOVIA A/92 GRANADA MURCIA KM. 354;N;-2,608944;37,554194;02/11/2023 12:44;1,659;;;1,819;;1,679;1,789;;;;;;;;;;BP VENTA DEL PERAL I;;L-D: 07:00-23:00
GRANADA;CÚLLAR;CULLAR;18850;AUTOVIA A/92 KM. 354;I;-2,614111;37,553444;02/11/2023 12:45;1,659;;;1,819;;1,679;1,789;;;;;0,989;;;;; BP VENTA DEL PERAL II;;L-D: 24H
NAVARRA;ALTSASU/ALSASUA;ALTSASU/ALSASUA;31800;AUTOVIA A1 KM. 401;D;-2,195389;42,917667;03/11/2023 10:02;1,724;;;;;1,734;1,774;;;;;;;;;;GALP;;L-D: 06:00-22:00
SEGOVIA;SANTO TOMÉ DEL PUERTO;VILLAREJO;40590;AUTOVIA A1 KM. 99;D;-3,584028;41,188222;03/11/2023 08:26;1,709;;;;;1,699;1,769;;;;;;;;;;E.S. MIRASIERRA;;L-D: 24H
GIRONA;AIGUAVIVA;AIGUAVIVA;17181;AUTOVIA A2 KM. 708;I;2,791306;41,917028;31/10/2023 07:26;1,779;;;1,919;;1,749;1,819;1,539;;;;;;;;;REPSOL;;"L-S: 06:00-22:00; D: 07:00-22:00"
GUADALAJARA;TRIJUEQUE;TRIJUEQUE;19192;AUTOVIA A2 KM. 75,700;D;-3,009417;40,761528;03/11/2023 08:06;1,689;;1,719;;;1,699;1,729;;;;;;;;;;REPSOL;;L-D: 24H
ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;VILLAR DE CHINCHILLA;02695;AUTOVIA A31 KM. 111;N;-1,502806;38,898306;02/11/2023 06:00;1,689;;;1,839;;1,699;1,789;;;;;;;;;;CEPSA;;"L-V: 06:00-22:00; S-D: 07:00-22:00"
VALENCIA / VALÈNCIA;FONT DE LA FIGUERA (LA);FONT DE LA FIGUERA (LA);46630;AUTOVIA A35 KM. 11,000;D;-0,890667;38,827139;27/10/2023 06:00;1,669;;;1,769;;1,649;;1,489;;;;;;;;;GALP ;;L-D: 24H
TOLEDO;OCAÑA;OCAÑA;45300;AUTOVIA A4 KM 64,500 SALIDA 62 KM. 64,500;N;-3,489444;39,934250;30/10/2023 19:03;1,669;;;1,819;;1,649;1,800;;;;;;;;;;GALP;;"L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00"
TOLEDO;CABAÑAS DE LA SAGRA;CABAÑAS DE LA SAGRA;45592;AUTOVIA A42 (ENLACE CTRA TO-2516, PK 0,50) KM. 55;D;-3,964000;39,992361;27/10/2023 11:26;1,699;;;;;1,699;1,739;;;;;;;;;;REPSOL;;L-D: 24H
CÁDIZ;CONIL DE LA FRONTERA;CONIL DE LA FRONTERA;11149;AUTOVIA A48 KM. 24,400;D;-6,057056;36,309917;02/11/2023 12:00;1,589;;;1,739;;1,639;1,699;;;;;;;;;;BP;;L-D: 24H
BADAJOZ;BADAJOZ;BADAJOZ;06006;AUTOVIA A5 km 405,715;D;-7,050811;38,883209;27/10/2023 00:00;1,659;;;1,799;;1,639;1,719;;;;;;;;;;GALP;;L-D: 24H
TOLEDO;CALERA Y CHOZAS;CALERA Y CHOZAS;45595;AUTOVIA A5 KM. 134;D;-5,026639;39,926417;02/11/2023 11:16;1,719;;;;;1,719;1,789;;;;;;;;;;REPSOL;;L-D: 06:00-23:00
BADAJOZ;MÉRIDA;MERIDA;06800;AUTOVIA A5 KM. 341;N;-6,361056;38,937861;30/10/2023 12:30;;;;;;;;;;;;;1,129;1,071;;;HAM;;L-D: 06:00-22:00
BADAJOZ;LOBÓN;LOBON;06498;AUTOVIA A5 KM. 367;D;-6,621389;38,844444;30/10/2023 06:00;1,585;;;;;1,518;;;;;;;;;;;FUEL 10;;L-D: 24H
BADAJOZ;LOBÓN;LOBON;06498;AUTOVIA A5 KM. 367,350;I;-6,619972;38,842111;03/11/2023 09:00;1,639;;;;;1,669;1,749;1,379;;;;;;;;;CEPSA;;L-D: 24H
SALAMANCA;MACHACÓN;FRANCOS VIEJO;37893;AUTOVIA A50 KM. 86,700;D;-5,507583;40,919972;29/10/2023 20:01;1,639;;;1,789;;1,719;1,789;;;;;;;;;;CEPSA;;L: 07:00-23:00
OURENSE;RIBADAVIA;RIBADAVIA;32400;AUTOVIA A52 km 249;D;-8,093972;42,314250;03/11/2023 06:00;1,674;;;1,806;;1,685;1,749;;;;;;;;;;CEPSA;;L-D: 24H
PONTEVEDRA;PONTEAREAS;PONTEAREAS;36860;AUTOVIA A52 km 292;I;-8,476417;42,145444;03/11/2023 06:00;1,674;;;1,806;;1,685;1,749;;;;;;;;;;CEPSA;;L-D: 24H
OURENSE;GUDIÑA (A);GUDIÑA (A);32540;AUTOVIA A52 KM. 132;D;-7,182083;42,024889;31/10/2023 12:59;1,699;;;;;1,658;1,699;1,398;;;;;;;;;STAROIL;;L-D: 24H
VALLADOLID;ATAQUINES;ATAQUINES;47210;AUTOVIA A6 KM. 141;D;-4,807472;41,182028;03/11/2023 01:17;1,668;;;1,839;;1,668;1,769;1,449;;;;0,928;;;;;REPSOL;;L-D: 06:30-23:00
VALLADOLID;SAN VICENTE DEL PALACIO;SAN VICENTE DEL PALACIO;47493;AUTOVIA A6 KM. 147,200;I;-4,848167;41,220694;30/10/2023 13:16;1,679;;;1,829;;1,699;1,759;;;;;;;;;;REPSOL;;"L-V: 24H; S: 00:00-16:00; D: 10:00-00:00"
LEÓN;BAÑEZA (LA);BAÑEZA (LA);24750;AUTOVIA A6 KM. 303;D;-5,914278;42,287833;31/10/2023 00:00;1,679;;;;;1,679;1,759;;;;;;;;;;CEPSA;;L-D: 24H
LEÓN;CAMPONARAYA;CAMPONARAYA;24410;AUTOVIA A6 KM. 394;D;-6,675806;42,587944;02/11/2023 13:57;1,699;;;1,869;;1,659;1,779;;;;;;;;;;CEPSA;;L-D: 24H
LUGO;CORGO (O);GOMEAN;27164;AUTOVIA A6 KM. 479;D;-7,393611;42,940306;02/11/2023 22:56;1,669;;;1,799;;1,699;1,779;;;;;;;;;;REPSOL;;L-D: 24H
PALENCIA;VILLAMURIEL DE CERRATO;VILLAMURIEL DE CERRATO;34190;AUTOVIA A610 KM. 5,5;D;-4,470222;41,973028;03/11/2023 00:00;1,649;;;1,781;;1,679;1,745;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
SALAMANCA;ALDEANUEVA DE FIGUEROA;ALDEANUEVA DE FIGUEROA;37429;AUTOVIA A62 KM. 214;D;-5,488667;41,138028;03/11/2023 00:00;1,639;;;;;1,719;1,779;;;;;;;;;;REPSOL;;L-D: 07:00-23:00
SALAMANCA;ALDEHUELA DE LA BÓVEDA;ALDEHUELA DE LA BOVEDA;37460;AUTOVIA A62 KM. 275;I;-6,050028;40,846833;02/11/2023 17:15;1,639;;;;;1,709;1,779;;;;;;;;;;GALP;;L-D: 24H
ZAMORA;GRANJA DE MORERUELA;GRANJA DE MORERUELA;49740;AUTOVIA A66 KM. 241;I;-5,755833;41,798333;03/11/2023 00:00;1,619;;;1,739;;1,699;1,759;;;;;;;;;;REPSOL;;L-D: 24H
BADAJOZ;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;06220;AUTOVIA A66 KM. 657;D;-6,370417;38,626750;31/10/2023 00:01;1,689;;1,769;;;1,709;1,809;;;;;;;;;;CEPSA - FIERROIL;;L-D: 24H
VALENCIA / VALÈNCIA;PUIG;PUIG;46450;AUTOVIA A7 KM 311 KM. 311;D;-0,343944;39,607444;03/11/2023 10:02;1,694;;;1,834;;1,694;1,764;1,264;;;;;;;;;GALP;;L-D: 24H
VALENCIA / VALÈNCIA;BENEIXIDA;BENEIXIDA;46293;AUTOVIA A7 KM. 389,80;I;-0,544500;39,059528;02/11/2023 12:04;1,509;;;;;1,519;1,598;1,419;;;;;;;;;GALP;;L-D: 06:00-22:00
ALICANTE;MURO DE ALCOY;MURO DEL ALCOY;03830;AUTOVIA A7 KM. 432;I;-0,444833;38,794528;03/11/2023 02:22;1,669;;;1,799;;1,639;1,729;;;;;;;;;;GALP;;L-D: 06:00-22:00
ALMERÍA;ALMERÍA;ALQUIAN (EL);04130;AUTOVIA A7 KM. 460,000;D;-2,336444;36,875028;30/10/2023 05:19;1,709;;;1,859;;1,769;1,859;1,399;;;;;;;;;REPSOL;;L-D: 24H
ALICANTE;CREVILLENT;CREVILLENT;03330;AUTOVIA A7 KM. 526;D;-0,791000;38,233167;30/10/2023 12:30;;;;;;;;;;;;;1,129;1,071;;;HAM;;L-D: 24H
VALENCIA / VALÈNCIA;VILLANUEVA DE CASTELLÓN;CASTELLÓ DE LA RIBERA;46270;AUTOVIA A7 KM. 855,600;D;-0,543000;39,061444;21/10/2023 12:15;1,757;;;1,884;;1,739;1,805;;;;;;;;;;CEPSA CANONCHE;;L: 06:00-22:00
ALMERÍA;HUÉRCAL-OVERA;HUERCAL-OVERA;04662;AUTOVIA A7 SALIDA 559 KM. 559;D;-1,910667;37,434583;31/10/2023 14:28;1,649;;;1,749;;1,649;1,729;1,449;;;;;;;;;CEPSA;;L-D: 24H
ASTURIAS;COLUNGA;COLUNGA;33320;AUTOVIA A8 km 347,5;D;-5,283194;43,482500;03/11/2023 06:00;1,709;;;1,841;;1,775;1,889;;;;;;;;;;CEPSA;;L-D: 24H
ASTURIAS;COLUNGA;COLUNGA;33320;AUTOVIA A8 km 347,5;I;-5,289083;43,481361;03/11/2023 06:00;1,709;;;1,841;;1,775;1,889;;;;;;;;;;CEPSA;;L-D: 24H
CANTABRIA;CASTAÑEDA;POMALUENGO;39660;AUTOVIA A8 KM. 218,75;N;-3,933667;43,313306;03/11/2023 00:00;1,689;;;1,821;;1,695;1,761;1,399;;;;0,979;;;;;CEPSA;;L-D: 06:00-23:00
ASTURIAS;RIBADESELLA;RIBADESELLA;33560;AUTOVIA A8 KM. 316;D;-5,014583;43,436111;03/11/2023 06:00;1,699;;;1,829;;1,629;1,739;;;;;;;;;;AVIA;;L-D: 24H
ASTURIAS;SIERO;POLA DE SIERO;33410;AUTOVIA A8, SALIDA 456 (C.C EROSKI) KM. 00;N;-5,803194;43,391972;03/11/2023 08:09;1,629;;;1,779;;1,609;;;;;;;;;;;EROSKI;;L-D: 24H
GRANADA;LOJA;LOJA;18300;AUTOVIA A92 KM. 192;D;-4,168417;37,164500;02/11/2023 22:00;1,669;;;1,814;;1,669;1,771;;;;;;;;;;BP MIRADOR;;L-D: 24H
GRANADA;LOJA;LOJA;18300;AUTOVIA A92 KM. 192;I;-4,169750;37,165694;02/11/2023 22:00;1,669;;;1,814;;1,669;1,771;;;;;;;;;;BP MANZANIL;;L-D: 24H
GRANADA;LÁCHAR;LACHAR;18327;AUTOVIA A92 KM. 221;D;-3,837639;37,193417;02/11/2023 13:05;1,729;;;1,839;;1,649;1,679;1,449;;;;;;;;;VALCARCE ;;L-D: 24H
GRANADA;CHAUCHINA;CHAUCHINA;18330;AUTOVIA A92 KM. 225;D;-3,802611;37,196056;30/10/2023 12:30;;;;;;;;;;;;;;1,071;;;HAM;;L-D: 24H
ALMERÍA;GÉRGAL;GERGAL;04550;AUTOVIA A92 SUR KM. 358;N;-2,561278;37,116917;31/10/2023 06:00;1,649;;;1,799;;1,709;1,819;1,299;;;;;;;;;BP;;L-D: 06:30-22:30
MÁLAGA;VILLANUEVA DEL TRABUCO;VILLANUEVA DEL TRABUCO;29313;AUTOVIA A92M KM. 8;I;-4,326944;37,067778;02/11/2023 11:38;1,679;;;1,829;;1,699;1,749;;;;;;;;;;REPSOL;;L-D: 24H
GRANADA;GOR;GOR;18870;AUTOVIA A92N KM. 12;D;-3,009528;37,392333;02/11/2023 13:09;1,729;;;1,839;;1,649;1,679;;;;;;;;;;GOR;;L-D: 07:00-23:00
ALICANTE;VILLENA;VILLENA;03400;AUTOVIA ALICANTE KM. 53;D;-0,848417;38,618444;03/11/2023 00:00;1,699;;;;;1,679;1,739;;;;;;;;;;REPSOL;;"L-V: 07:00-00:00; S: 07:00-22:00; D: 07:00-00:00"
ALICANTE;VILLENA;VILLENA;03400;AUTOVIA ALICANTE-MADRID KM. 59;D;-0,888056;38,670306;01/11/2023 00:00;1,719;;;1,879;;1,699;1,799;;;;;;;;;;BP ;;L-D: 06:00-22:00
ALMERÍA;NÍJAR;NIJAR;04100;AUTOVIA ALMERIA  MURCIA SALIDA 494 KM. ;I;-2,067056;36,993861;31/10/2023 00:01;1,649;;;1,792;;1,709;1,799;1,349;;;;;;;;;BP VENTA DEL POBRE;;L-D: 06:00-00:30
CIUDAD REAL;VALDEPEÑAS;CONSOLACION;13310;AUTOVIA ANDALUCIA KM. 185;I;-3,390278;38,899917;02/11/2023 09:15;1,639;;;;;1,579;1,589;1,339;;;;;;;;;ATENOIL;;L-D: 24H
CIUDAD REAL;VALDEPEÑAS;CONSOLACION;13310;AUTOVIA ANDALUCIA KM. 185;D;-3,391639;38,901500;02/11/2023 09:15;1,649;;;1,799;;1,709;1,779;1,399;;;;;;;;;REPSOL;;L-D: 24H
CIUDAD REAL;SANTA CRUZ DE MUDELA;SANTA CRUZ DE MUDELA;13730;AUTOVIA ANDALUCIA KM. 222,5;D;-3,472944;38,590194;03/11/2023 00:00;1,670;;1,732;;;1,720;1,793;;;;;;;;;;CEPSA;;L-D: 24H
JAÉN;CARBONEROS;CARBONEROS;23211;AUTOVIA ANDALUCIA N.IV KM. 275;I;-3,628194;38,228278;31/10/2023 11:36;1,649;;;;;1,659;;1,369;;;;;;;;;BDMED;;L-D: 24H
TOLEDO;MADRIDEJOS;MADRIDEJOS;45710;AUTOVIA ANTIGUA N-IV KM. 117,6;D;-3,528806;39,478611;01/11/2023 00:00;1,629;;;;;1,639;1,739;;;;;;;;;;CEPSA . LOHANA;;L-D: 06:00-22:00
GIRONA;AIGUAVIVA;AIGUAVIVA;17181;AUTOVIA AP- 7 KM. 70,5;I;2,773667;41,906778;03/11/2023 10:20;1,709;;;1,829;;1,689;1,779;;;;;;;;;;GALP;;L-D: 24H
TARRAGONA;TARRAGONA;TARRAGONA;43007;AUTOVIA AP-01 KM. 0,450;D;1,217083;41,114000;30/10/2023 09:00;1,469;;;1,569;;1,509;;;;;1,479;;;;;;TAMOIL;;L-D: 24H
CORUÑA (A);ORDES;AMEIXEIRA;15689;AUTOVIA AP-9 KM. 39,5;I;-8,349139;43,099639;03/11/2023 00:00;1,689;;;1,821;;1,715;1,781;;;;;0,979;;;;;CEPSA;;L-D: 06:00-23:59
CORUÑA (A);ORDES;AMEIXEIRA;15689;AUTOVIA AP-9 KM. 39,5;D;-8,351611;43,097722;03/11/2023 00:00;1,689;;;1,821;;1,715;1,781;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
ASTURIAS;GIJÓN;MAREO DE ABAJO;33390;AUTOVIA AS-I KM. 37;D;-5,673194;43,494083;03/11/2023 10:00;1,719;;;1,851;;1,739;1,859;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;06140;AUTOVIA AUTOVIA  A-5 KM. KM 375,86;D;-6,712722;38,852278;02/11/2023 15:25;1,569;;;1,719;;1,609;;;;;;;;;;;Q8;;L-D: 24H
BARCELONA;JORBA;JORBA;08519;AUTOVIA AUTOVIA A-2 KM. 545;I;1,540750;41,602306;30/10/2023 09:30;1,446;;;1,554;;1,477;;;;;;;;;;;BONAREA;;L-D: 24H
